  
       XFOIL         Version 6.99
  
 Calculated polar for: FAAW3211_-10                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     9.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -1.3621   0.01336   0.00802   0.0412   0.5446   0.0091
  -8.500  -1.3116   0.01273   0.00738   0.0416   0.5313   0.0098
  -8.000  -1.2590   0.01226   0.00686   0.0419   0.5187   0.0085
  -7.500  -1.2059   0.01179   0.00629   0.0420   0.4635   0.0101
  -7.000  -1.1513   0.01132   0.00591   0.0422   0.5008   0.0086
  -6.500  -1.0975   0.01081   0.00541   0.0424   0.4959   0.0104
  -6.000  -1.0425   0.01035   0.00496   0.0424   0.4856   0.0128
  -5.500  -0.9864   0.00999   0.00458   0.0423   0.4733   0.0136
  -5.000  -0.9306   0.00956   0.00418   0.0422   0.4676   0.0189
  -4.500  -0.8738   0.00922   0.00385   0.0420   0.4585   0.0224
  -4.000  -0.8191   0.00864   0.00339   0.0421   0.4527   0.0463
  -3.500  -0.7596   0.00853   0.00324   0.0416   0.4455   0.0383
  -3.000  -0.7046   0.00795   0.00281   0.0416   0.4369   0.0755
  -2.500  -0.6422   0.00815   0.00284   0.0407   0.4277   0.0390
  -1.500  -0.5284   0.00736   0.00227   0.0404   0.4152   0.0983
  -1.000  -0.4842   0.00584   0.00145   0.0421   0.4087   0.2794
  -0.500  -0.4256   0.00566   0.00132   0.0417   0.4027   0.3003
  -0.000  -0.3599   0.00607   0.00148   0.0402   0.3952   0.2436
   0.500  -0.2850   0.00742   0.00208   0.0372   0.3900   0.0000
   1.000  -0.2545   0.00480   0.00089   0.0414   0.3841   0.4283
   1.500  -0.1908   0.00503   0.00096   0.0401   0.3788   0.3952
   2.500  -0.0677   0.00519   0.00100   0.0382   0.3625   0.3813
   3.000  -0.0154   0.00688   0.00180   0.0373   0.0013   0.4396
   3.500   0.0495   0.00587   0.00133   0.0366   0.2327   0.4191
   4.000   0.1326   0.00689   0.00162   0.0324   0.3298   0.0041
   4.500   0.1676   0.00752   0.00220   0.0343   0.0095   0.4077
   5.000   0.2294   0.00787   0.00241   0.0331   0.0005   0.3777
   5.500   0.2881   0.00644   0.00181   0.0333   0.1645   0.4769
   6.000   0.3442   0.00784   0.00266   0.0320   0.0004   0.4796
   6.500   0.4040   0.00807   0.00288   0.0310   0.0002   0.4854
   7.000   0.4744   0.00575   0.00155   0.0303   0.2649   0.4768
   7.500   0.5350   0.00578   0.00163   0.0293   0.2631   0.4913
   8.000   0.5958   0.00588   0.00175   0.0282   0.2587   0.4949
   8.500   0.6513   0.00712   0.00253   0.0270   0.1611   0.4968
   9.000   0.7085   0.00796   0.00310   0.0258   0.1103   0.4890
   9.500   0.7729   0.00723   0.00274   0.0247   0.1715   0.5051
  10.000   0.8321   0.00761   0.00305   0.0235   0.1548   0.5083
  10.500   0.8903   0.00814   0.00346   0.0223   0.1337   0.5006
  11.000   0.9442   0.00954   0.00454   0.0207   0.0699   0.5131
  11.500   1.0030   0.00994   0.00493   0.0193   0.0661   0.5180
  12.000   1.0601   0.01063   0.00556   0.0178   0.0529   0.5200
  12.500   1.1193   0.01090   0.00587   0.0164   0.0571   0.5233
  13.000   1.1729   0.01236   0.00717   0.0140   0.0323   0.5261
  13.500   1.2274   0.01460   0.00931   0.0092   0.0132   0.5315
  14.000   1.2879   0.01458   0.00939   0.0078   0.0259   0.5347
  14.500   1.3440   0.01581   0.01066   0.0044   0.0269   0.5376
  15.000   1.3690   0.02019   0.01496  -0.0003   0.0120   0.5439
  15.500   1.4218   0.02087   0.01573  -0.0018   0.0197   0.5471
  16.000   1.4522   0.02377   0.01865  -0.0038   0.0175   0.5512
  16.500   1.4539   0.02933   0.02420  -0.0060   0.0086   0.5548
  17.000   1.4769   0.03282   0.02774  -0.0077   0.0083   0.5582
  18.000   1.5346   0.03915   0.03420  -0.0117   0.0117   0.5688
  18.500   1.5366   0.04496   0.04005  -0.0136   0.0090   0.5736
  19.000   1.5615   0.04837   0.04356  -0.0152   0.0111   0.5810
  19.500   1.5554   0.05495   0.05018  -0.0169   0.0083   0.5842
  20.000   1.5534   0.06121   0.05652  -0.0187   0.0068   0.5907
  20.500   1.5679   0.06562   0.06101  -0.0202   0.0084   0.5966
  21.000   1.5732   0.07106   0.06652  -0.0218   0.0086   0.5992
  21.500   1.5377   0.08156   0.07708  -0.0247   0.0038   0.6067
  22.000   1.5144   0.09078   0.08638  -0.0274   0.0016   0.6090
  22.500   1.5484   0.09291   0.08860  -0.0286   0.0048   0.6193
  23.000   1.5327   0.10136   0.09713  -0.0315   0.0035   0.6240
  23.500   1.5257   0.10886   0.10471  -0.0344   0.0030   0.6327
  24.000   1.5415   0.11327   0.10921  -0.0365   0.0044   0.6400
  24.500   1.5358   0.12067   0.11671  -0.0397   0.0042   0.6504
  25.000   1.5351   0.12753   0.12366  -0.0430   0.0044   0.6612
