  
       XFOIL         Version 6.99
  
 Calculated polar for: FAAW3211_-12.0                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     9.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.000  -1.3636   0.01292   0.00747   0.0584   0.5134   0.0096
  -7.500  -1.3130   0.01237   0.00691   0.0591   0.5090   0.0098
  -7.000  -1.2604   0.01189   0.00643   0.0595   0.5000   0.0098
  -6.500  -1.2069   0.01146   0.00596   0.0599   0.4906   0.0084
  -6.000  -1.1538   0.01097   0.00546   0.0602   0.4692   0.0113
  -5.500  -1.0997   0.01050   0.00502   0.0605   0.4699   0.0139
  -5.000  -1.0437   0.01017   0.00468   0.0605   0.4613   0.0134
  -4.500  -0.9872   0.00987   0.00436   0.0604   0.4440   0.0134
  -4.000  -0.9316   0.00945   0.00399   0.0605   0.4464   0.0188
  -3.500  -0.8769   0.00896   0.00355   0.0607   0.4227   0.0389
  -3.000  -0.8151   0.00909   0.00359   0.0599   0.4295   0.0091
