  
       XFOIL         Version 6.99
  
 Calculated polar for: FAAW3211                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     9.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.8106   0.01081   0.00573  -0.0463   0.5194   0.0112
  -8.500  -0.7510   0.01039   0.00527  -0.0478   0.5092   0.0093
  -8.000  -0.6920   0.00979   0.00469  -0.0492   0.5006   0.0141
  -7.500  -0.6331   0.00923   0.00416  -0.0506   0.4870   0.0232
  -7.000  -0.5736   0.00892   0.00382  -0.0516   0.4712   0.0258
  -6.500  -0.5139   0.00861   0.00352  -0.0526   0.4720   0.0266
  -5.500  -0.3963   0.00779   0.00280  -0.0545   0.4492   0.0626
  -5.000  -0.3386   0.00760   0.00253  -0.0553   0.3967   0.0869
  -4.500  -0.2741   0.00795   0.00275  -0.0562   0.4360   0.0113
  -4.000  -0.2296   0.00583   0.00149  -0.0556   0.4232   0.2574
  -3.500  -0.1711   0.00625   0.00157  -0.0562   0.3385   0.2518
  -3.000  -0.1160   0.00523   0.00112  -0.0560   0.4093   0.3410
  -2.500  -0.0558   0.00533   0.00112  -0.0567   0.3893   0.3395
  -2.000   0.0045   0.00521   0.00106  -0.0574   0.3976   0.3501
  -1.500   0.0651   0.00525   0.00106  -0.0581   0.3914   0.3493
  -1.000   0.1218   0.00491   0.00093  -0.0583   0.3889   0.4143
   0.500   0.3032   0.00499   0.00098  -0.0606   0.3707   0.4360
   1.500   0.4247   0.00502   0.00104  -0.0623   0.3638   0.4541
   2.000   0.4850   0.00516   0.00112  -0.0630   0.3497   0.4545
   2.500   0.5457   0.00522   0.00118  -0.0639   0.3452   0.4580
   3.000   0.6064   0.00529   0.00125  -0.0648   0.3389   0.4687
   3.500   0.6550   0.00672   0.00199  -0.0642   0.1905   0.4710
   4.000   0.7264   0.00559   0.00144  -0.0663   0.3213   0.4536
   4.500   0.7878   0.00561   0.00153  -0.0674   0.3174   0.4790
   5.000   0.8456   0.00599   0.00177  -0.0679   0.2856   0.4817
   5.500   0.9035   0.00626   0.00186  -0.0681   0.2854   0.4151
   6.000   0.9640   0.00647   0.00214  -0.0695   0.2564   0.4882
   6.500   1.0209   0.00692   0.00245  -0.0700   0.2276   0.4888
   7.000   1.0771   0.00741   0.00281  -0.0703   0.2007   0.4870
   7.500   1.1238   0.00892   0.00384  -0.0697   0.1095   0.4967
   8.000   1.1852   0.00891   0.00393  -0.0708   0.1216   0.5017
   9.000   1.2964   0.00993   0.00479  -0.0717   0.0932   0.5061
   9.500   1.3487   0.01075   0.00547  -0.0719   0.0684   0.5116
  10.000   1.4037   0.01127   0.00595  -0.0723   0.0611   0.5145
  10.500   1.4491   0.01248   0.00699  -0.0716   0.0344   0.5162
  11.000   1.5015   0.01310   0.00759  -0.0719   0.0311   0.5194
  11.500   1.5547   0.01366   0.00816  -0.0723   0.0306   0.5236
  12.000   1.6009   0.01459   0.00905  -0.0719   0.0248   0.5256
  12.500   1.6452   0.01534   0.00981  -0.0711   0.0252   0.5245
  13.000   1.6842   0.01660   0.01108  -0.0704   0.0219   0.5319
  13.500   1.7174   0.01844   0.01292  -0.0698   0.0184   0.5283
  14.000   1.7554   0.02049   0.01501  -0.0707   0.0169   0.5391
  14.500   1.7804   0.02335   0.01789  -0.0706   0.0146   0.5375
  15.500   1.8250   0.02992   0.02457  -0.0707   0.0132   0.5512
  16.000   1.8286   0.03456   0.02922  -0.0696   0.0117   0.5270
  17.000   1.8435   0.04424   0.03912  -0.0698   0.0113   0.5570
  17.500   1.8187   0.05270   0.04765  -0.0699   0.0073   0.5625
  18.000   1.8228   0.05818   0.05322  -0.0703   0.0080   0.5677
  18.500   1.8259   0.06378   0.05892  -0.0708   0.0089   0.5727
  19.000   1.8138   0.07092   0.06610  -0.0710   0.0081   0.5512
  19.500   1.7974   0.07884   0.07408  -0.0717   0.0069   0.5389
  20.000   1.7986   0.08531   0.08073  -0.0734   0.0073   0.5830
  20.500   1.7498   0.09735   0.09278  -0.0750   0.0032   0.5491
  21.000   1.7720   0.10125   0.09685  -0.0765   0.0059   0.5899
  21.500   1.7709   0.10771   0.10341  -0.0781   0.0063   0.5958
  22.000   1.7544   0.11635   0.11213  -0.0805   0.0054   0.5982
  22.500   1.7488   0.12351   0.11938  -0.0829   0.0051   0.6020
  23.000   1.7412   0.13113   0.12708  -0.0857   0.0048   0.6078
  23.500   1.7390   0.13801   0.13405  -0.0886   0.0048   0.6115
  24.000   1.7060   0.14962   0.14573  -0.0942   0.0023   0.6151
  24.500   1.7234   0.15358   0.14978  -0.0964   0.0039   0.6214
  25.000   1.7063   0.16312   0.15940  -0.1019   0.0026   0.6260
