  
       XFOIL         Version 6.99
  
 Calculated polar for: FAAW3211_10                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     9.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.2512   0.01076   0.00605  -0.1320   0.4987   0.0340
  -8.500  -0.1848   0.00989   0.00509  -0.1366   0.4511   0.0540
  -8.000  -0.1179   0.00912   0.00438  -0.1404   0.4528   0.0675
  -7.500  -0.0566   0.00895   0.00413  -0.1421   0.4383   0.0603
  -7.000   0.0122   0.00782   0.00317  -0.1467   0.4440   0.1086
  -6.500   0.0728   0.00655   0.00215  -0.1498   0.4127   0.2244
  -6.000   0.1314   0.00626   0.00194  -0.1506   0.4134   0.2545
  -5.500   0.1874   0.00562   0.00157  -0.1511   0.4204   0.3337
  -5.000   0.2443   0.00549   0.00148  -0.1514   0.4072   0.3699
  -4.500   0.3038   0.00550   0.00147  -0.1520   0.4023   0.3744
  -4.000   0.3633   0.00543   0.00144  -0.1527   0.4029   0.3922
  -3.500   0.4214   0.00552   0.00148  -0.1531   0.3858   0.4045
  -3.000   0.4815   0.00554   0.00150  -0.1539   0.3866   0.4098
  -2.500   0.5411   0.00566   0.00155  -0.1545   0.3836   0.3934
  -2.000   0.6017   0.00557   0.00156  -0.1554   0.3813   0.4326
  -1.500   0.6606   0.00570   0.00163  -0.1559   0.3716   0.4330
  -1.000   0.7201   0.00579   0.00170  -0.1566   0.3648   0.4376
   0.500   0.8980   0.00612   0.00194  -0.1584   0.3486   0.4384
   1.000   0.9575   0.00622   0.00204  -0.1590   0.3450   0.4417
   1.500   1.0184   0.00636   0.00218  -0.1601   0.3327   0.4624
   2.500   1.1366   0.00671   0.00247  -0.1614   0.3146   0.4700
   3.000   1.1953   0.00689   0.00263  -0.1619   0.3057   0.4709
   3.500   1.2487   0.00752   0.00303  -0.1617   0.2635   0.4775
   4.000   1.3063   0.00779   0.00326  -0.1621   0.2522   0.4788
   4.500   1.3598   0.00842   0.00371  -0.1619   0.2174   0.4824
   5.000   1.4156   0.00886   0.00407  -0.1621   0.1989   0.4888
   5.500   1.4682   0.00957   0.00461  -0.1618   0.1670   0.4938
   6.000   1.5200   0.01018   0.00509  -0.1614   0.1446   0.4938
   6.500   1.5595   0.01160   0.00616  -0.1590   0.0870   0.4984
   7.000   1.6106   0.01208   0.00663  -0.1584   0.0806   0.5021
   7.500   1.6540   0.01301   0.00744  -0.1567   0.0604   0.5057
   8.000   1.6931   0.01423   0.00852  -0.1545   0.0383   0.5087
   8.500   1.7365   0.01498   0.00925  -0.1528   0.0354   0.5103
   9.500   1.8154   0.01683   0.01109  -0.1485   0.0282   0.5179
  10.000   1.8274   0.01920   0.01335  -0.1427   0.0100   0.5201
  10.500   1.8724   0.01976   0.01396  -0.1414   0.0164   0.5220
  11.000   1.9039   0.02108   0.01530  -0.1385   0.0162   0.5228
  11.500   1.9259   0.02306   0.01730  -0.1346   0.0122   0.5282
  12.000   1.9597   0.02433   0.01862  -0.1323   0.0147   0.5310
  12.500   1.9850   0.02616   0.02050  -0.1291   0.0151   0.5337
  13.000   1.9999   0.02881   0.02319  -0.1252   0.0132   0.5347
  13.500   2.0083   0.03228   0.02670  -0.1213   0.0106   0.5375
  14.000   2.0270   0.03548   0.02997  -0.1193   0.0116   0.5415
  14.500   2.0387   0.03968   0.03425  -0.1175   0.0112   0.5440
  15.000   2.0455   0.04462   0.03927  -0.1160   0.0107   0.5466
  16.000   2.0310   0.05779   0.05263  -0.1134   0.0085   0.5543
  17.000   2.0020   0.07305   0.06810  -0.1120   0.0076   0.5587
  17.500   1.9902   0.08055   0.07572  -0.1117   0.0075   0.5597
  18.000   1.9759   0.08845   0.08373  -0.1119   0.0072   0.5637
  18.500   1.9649   0.09601   0.09139  -0.1123   0.0073   0.5676
  19.000   1.9546   0.10345   0.09894  -0.1129   0.0072   0.5691
  19.500   1.9350   0.11226   0.10783  -0.1142   0.0061   0.5713
  20.000   1.9315   0.11894   0.11463  -0.1154   0.0066   0.5763
  20.500   1.9191   0.12693   0.12270  -0.1174   0.0058   0.5798
  21.000   1.9130   0.13402   0.12988  -0.1195   0.0059   0.5820
  22.000   1.8991   0.14864   0.14466  -0.1251   0.0049   0.5897
  22.500   1.8927   0.15591   0.15201  -0.1285   0.0044   0.5928
  23.000   1.8917   0.16233   0.15850  -0.1317   0.0044   0.5956
  23.500   1.8874   0.16935   0.16560  -0.1357   0.0040   0.6008
  24.000   1.8858   0.17598   0.17231  -0.1397   0.0041   0.6049
  24.500   1.8827   0.18281   0.17922  -0.1442   0.0038   0.6076
  25.000   1.8800   0.18958   0.18607  -0.1490   0.0036   0.6117
