  
       XFOIL         Version 6.99
  
 Calculated polar for: Profile26_-12                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     9.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -1.6284   0.01079   0.00647   0.0669   0.5357   0.2212
  -8.500  -1.5665   0.01024   0.00594   0.0651   0.5199   0.2314
  -8.000  -1.5036   0.00972   0.00546   0.0632   0.5134   0.2432
  -7.500  -1.4397   0.00936   0.00511   0.0614   0.4990   0.2523
  -7.000  -1.3752   0.00907   0.00483   0.0596   0.4904   0.2582
  -6.500  -1.3102   0.00880   0.00455   0.0577   0.4751   0.2664
  -6.000  -1.2450   0.00857   0.00432   0.0558   0.4650   0.2722
  -5.500  -1.1794   0.00832   0.00407   0.0538   0.4524   0.2813
  -5.000  -1.1136   0.00814   0.00389   0.0519   0.4412   0.2870
  -4.500  -1.0475   0.00790   0.00367   0.0499   0.4324   0.2973
  -4.000  -0.9814   0.00780   0.00353   0.0480   0.4187   0.3016
  -3.500  -0.9150   0.00762   0.00337   0.0460   0.4099   0.3105
  -3.000  -0.8485   0.00751   0.00325   0.0440   0.3973   0.3162
  -2.500  -0.7819   0.00735   0.00311   0.0420   0.3920   0.3254
  -2.000  -0.7152   0.00727   0.00301   0.0400   0.3803   0.3315
  -1.500  -0.6485   0.00716   0.00291   0.0380   0.3733   0.3399
  -1.000  -0.5816   0.00710   0.00283   0.0360   0.3614   0.3460
  -0.500  -0.5149   0.00705   0.00278   0.0341   0.3557   0.3512
  -0.000  -0.4478   0.00697   0.00270   0.0320   0.3467   0.3606
   0.500  -0.3810   0.00694   0.00267   0.0300   0.3394   0.3660
   1.000  -0.3139   0.00689   0.00262   0.0280   0.3317   0.3748
   1.500  -0.2470   0.00690   0.00261   0.0260   0.3230   0.3787
   2.000  -0.1800   0.00688   0.00259   0.0240   0.3178   0.3863
   2.500  -0.1130   0.00689   0.00259   0.0219   0.3081   0.3931
   3.000  -0.0461   0.00690   0.00260   0.0200   0.3044   0.3967
   3.500   0.0209   0.00692   0.00262   0.0179   0.2953   0.4063
   4.000   0.0878   0.00695   0.00265   0.0159   0.2893   0.4109
   4.500   0.1547   0.00704   0.00270   0.0139   0.2806   0.4173
   5.000   0.2215   0.00707   0.00274   0.0119   0.2743   0.4241
   5.500   0.2882   0.00714   0.00280   0.0099   0.2699   0.4275
   6.000   0.3550   0.00725   0.00289   0.0079   0.2607   0.4341
   6.500   0.4217   0.00728   0.00295   0.0059   0.2578   0.4418
   7.000   0.4881   0.00742   0.00306   0.0039   0.2513   0.4446
   7.500   0.5546   0.00753   0.00316   0.0019   0.2451   0.4503
   8.000   0.6210   0.00761   0.00326  -0.0001   0.2412   0.4576
   8.500   0.6872   0.00779   0.00341  -0.0021   0.2336   0.4612
   9.000   0.7533   0.00791   0.00352  -0.0040   0.2301   0.4644
   9.500   0.8193   0.00806   0.00368  -0.0060   0.2246   0.4734
  10.000   0.8851   0.00825   0.00385  -0.0080   0.2178   0.4779
  10.500   0.9507   0.00844   0.00403  -0.0099   0.2130   0.4797
  11.000   1.0160   0.00869   0.00425  -0.0119   0.2049   0.4871
  11.500   1.0813   0.00889   0.00446  -0.0139   0.2005   0.4936
  12.000   1.1461   0.00919   0.00473  -0.0158   0.1924   0.4967
  12.500   1.2106   0.00945   0.00497  -0.0177   0.1881   0.4982
  13.000   1.2748   0.00979   0.00529  -0.0196   0.1800   0.5064
  13.500   1.3384   0.01021   0.00568  -0.0216   0.1715   0.5121
  14.000   1.4018   0.01056   0.00602  -0.0234   0.1660   0.5151
  14.500   1.4642   0.01107   0.00647  -0.0253   0.1576   0.5163
  15.000   1.5259   0.01162   0.00699  -0.0272   0.1502   0.5240
  15.500   1.5876   0.01204   0.00743  -0.0290   0.1458   0.5304
  16.000   1.6472   0.01276   0.00811  -0.0308   0.1375   0.5342
  16.500   1.7058   0.01359   0.00890  -0.0327   0.1310   0.5364
  17.000   1.7641   0.01447   0.00978  -0.0349   0.1252   0.5443
  17.500   1.8189   0.01589   0.01119  -0.0377   0.1178   0.5499
  18.000   1.8633   0.01826   0.01355  -0.0408   0.1104   0.5531
  18.500   1.8643   0.02221   0.01755  -0.0396   0.1065   0.5544
  19.000   1.8666   0.02645   0.02182  -0.0388   0.1012   0.5591
  19.500   1.8588   0.03171   0.02713  -0.0381   0.0956   0.5650
  20.000   1.8605   0.03646   0.03194  -0.0381   0.0917   0.5697
  20.500   1.8460   0.04296   0.03850  -0.0382   0.0869   0.5726
  21.000   1.8371   0.04909   0.04468  -0.0387   0.0836   0.5740
  21.500   1.8233   0.05585   0.05151  -0.0394   0.0796   0.5754
  22.000   1.7957   0.06432   0.06007  -0.0406   0.0765   0.5805
  22.500   1.7778   0.07194   0.06778  -0.0420   0.0731   0.5855
  23.000   1.7580   0.07989   0.07581  -0.0436   0.0705   0.5896
  23.500   1.7346   0.08841   0.08441  -0.0457   0.0672   0.5924
  24.000   1.7035   0.09813   0.09424  -0.0483   0.0651   0.5938
  24.500   1.6747   0.10766   0.10385  -0.0513   0.0616   0.5946
  25.000   1.6562   0.11616   0.11243  -0.0544   0.0594   0.5970
