  
       XFOIL         Version 6.99
  
 Calculated polar for: Profile36_12                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     9.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.1867   0.00751   0.00384  -0.1552   0.5152   0.2925
  -8.500  -0.1225   0.00705   0.00337  -0.1578   0.4988   0.3083
  -8.000  -0.0600   0.00685   0.00312  -0.1596   0.4894   0.3134
  -7.500   0.0021   0.00656   0.00281  -0.1614   0.4755   0.3261
  -7.000   0.0624   0.00649   0.00266  -0.1625   0.4569   0.3325
  -6.500   0.1228   0.00633   0.00246  -0.1637   0.4435   0.3429
  -6.000   0.1837   0.00616   0.00230  -0.1648   0.4374   0.3558
  -5.500   0.2430   0.00618   0.00225  -0.1655   0.4239   0.3608
  -5.000   0.3029   0.00617   0.00222  -0.1663   0.4167   0.3665
  -4.500   0.3618   0.00617   0.00218  -0.1669   0.4057   0.3733
  -4.000   0.4207   0.00622   0.00219  -0.1674   0.3979   0.3767
  -3.500   0.4790   0.00626   0.00220  -0.1678   0.3865   0.3850
  -3.000   0.5367   0.00632   0.00223  -0.1680   0.3760   0.3927
  -2.500   0.5951   0.00635   0.00225  -0.1684   0.3688   0.4028
  -2.000   0.6520   0.00647   0.00232  -0.1685   0.3566   0.4082
  -1.500   0.7102   0.00656   0.00238  -0.1687   0.3520   0.4096
  -1.000   0.7663   0.00672   0.00248  -0.1686   0.3390   0.4131
  -0.500   0.8235   0.00680   0.00256  -0.1687   0.3340   0.4189
  -0.000   0.8792   0.00696   0.00267  -0.1685   0.3242   0.4231
   0.500   0.9355   0.00707   0.00277  -0.1683   0.3192   0.4259
   1.000   0.9857   0.00723   0.00290  -0.1670   0.3100   0.4336
   1.500   1.0376   0.00735   0.00302  -0.1660   0.3032   0.4401
   2.000   1.0905   0.00763   0.00323  -0.1653   0.2892   0.4422
   2.500   1.1445   0.00788   0.00343  -0.1647   0.2810   0.4460
   3.000   1.1995   0.00807   0.00363  -0.1644   0.2739   0.4538
   3.500   1.2522   0.00839   0.00389  -0.1637   0.2612   0.4583
   4.000   1.3046   0.00871   0.00416  -0.1629   0.2504   0.4626
   4.500   1.3567   0.00906   0.00446  -0.1622   0.2381   0.4698
   5.000   1.4084   0.00939   0.00476  -0.1613   0.2285   0.4737
   5.500   1.4577   0.00984   0.00514  -0.1601   0.2147   0.4758
   6.000   1.5054   0.01036   0.00558  -0.1586   0.1990   0.4800
   6.500   1.5521   0.01094   0.00608  -0.1570   0.1835   0.4857
   7.000   1.5982   0.01153   0.00661  -0.1553   0.1700   0.4898
   7.500   1.6428   0.01216   0.00718  -0.1534   0.1584   0.4920
   8.000   1.6847   0.01290   0.00784  -0.1511   0.1449   0.4931
   8.500   1.7249   0.01375   0.00861  -0.1487   0.1313   0.4973
   9.000   1.7619   0.01476   0.00955  -0.1458   0.1152   0.5025
   9.500   1.7989   0.01581   0.01054  -0.1431   0.1032   0.5065
  10.000   1.8333   0.01698   0.01164  -0.1400   0.0917   0.5092
  10.500   1.8661   0.01821   0.01283  -0.1368   0.0825   0.5105
  11.000   1.9002   0.01959   0.01418  -0.1341   0.0740   0.5175
  11.500   1.9355   0.02110   0.01567  -0.1319   0.0664   0.5224
  12.000   1.9690   0.02284   0.01739  -0.1297   0.0601   0.5255
  12.500   2.0047   0.02495   0.01949  -0.1285   0.0537   0.5272
  13.000   2.0283   0.02709   0.02162  -0.1250   0.0488   0.5280
  13.500   2.0504   0.02944   0.02400  -0.1218   0.0453   0.5324
  14.000   2.0688   0.03223   0.02680  -0.1185   0.0412   0.5373
  14.500   2.0825   0.03558   0.03020  -0.1153   0.0385   0.5408
  15.000   2.0957   0.03935   0.03403  -0.1128   0.0365   0.5433
  15.500   2.1013   0.04411   0.03884  -0.1105   0.0344   0.5448
  16.000   2.1056   0.04910   0.04390  -0.1086   0.0328   0.5455
  16.500   2.1046   0.05476   0.04965  -0.1070   0.0317   0.5470
  17.000   2.0933   0.06165   0.05663  -0.1057   0.0296   0.5512
  17.500   2.0844   0.06840   0.06349  -0.1047   0.0287   0.5551
  18.000   2.0654   0.07647   0.07169  -0.1042   0.0276   0.5579
  18.500   2.0435   0.08497   0.08030  -0.1041   0.0262   0.5600
  19.000   2.0267   0.09294   0.08838  -0.1043   0.0253   0.5618
  19.500   2.0017   0.10201   0.09756  -0.1051   0.0241   0.5629
  20.000   1.9769   0.11119   0.10684  -0.1065   0.0222   0.5636
  20.500   1.9605   0.11932   0.11507  -0.1081   0.0214   0.5672
  21.000   1.9439   0.12765   0.12349  -0.1103   0.0200   0.5718
  21.500   1.9323   0.13539   0.13134  -0.1128   0.0192   0.5763
  22.000   1.9172   0.14356   0.13959  -0.1159   0.0181   0.5790
  22.500   1.9060   0.15127   0.14738  -0.1193   0.0170   0.5807
  23.000   1.8949   0.15905   0.15523  -0.1231   0.0160   0.5815
  23.500   1.8855   0.16660   0.16285  -0.1272   0.0149   0.5820
  24.000   1.8785   0.17378   0.17012  -0.1314   0.0145   0.5859
  24.500   1.8703   0.18122   0.17764  -0.1362   0.0139   0.5902
  25.000   1.8635   0.18849   0.18499  -0.1412   0.0132   0.5934
