  
       XFOIL         Version 6.99
  
 Calculated polar for: Profile50                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     9.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.5335   0.00773   0.00311  -0.1022   0.6404   0.0270
  -8.500  -0.4747   0.00750   0.00287  -0.1030   0.6313   0.0282
  -8.000  -0.4157   0.00727   0.00263  -0.1038   0.6211   0.0296
  -7.500  -0.3565   0.00708   0.00243  -0.1047   0.6107   0.0310
  -7.000  -0.2971   0.00689   0.00223  -0.1056   0.6004   0.0331
  -6.500  -0.2376   0.00670   0.00204  -0.1064   0.5911   0.0359
  -6.000  -0.1777   0.00652   0.00187  -0.1074   0.5823   0.0400
  -5.500  -0.1178   0.00633   0.00169  -0.1084   0.5728   0.0484
  -5.000  -0.0577   0.00612   0.00153  -0.1094   0.5637   0.0629
  -4.500   0.0025   0.00590   0.00138  -0.1104   0.5543   0.0849
  -4.000   0.0631   0.00566   0.00123  -0.1116   0.5471   0.1162
  -3.500   0.1238   0.00543   0.00110  -0.1128   0.5391   0.1531
  -3.000   0.1846   0.00521   0.00100  -0.1140   0.5301   0.1987
  -2.500   0.2458   0.00496   0.00090  -0.1154   0.5236   0.2555
  -2.000   0.3069   0.00474   0.00082  -0.1167   0.5152   0.3131
  -1.500   0.3681   0.00452   0.00077  -0.1181   0.5048   0.3868
  -1.000   0.4286   0.00447   0.00077  -0.1191   0.4940   0.4201
  -0.500   0.4890   0.00449   0.00080  -0.1201   0.4858   0.4351
  -0.000   0.5493   0.00451   0.00083  -0.1211   0.4776   0.4485
   0.500   0.6095   0.00454   0.00087  -0.1220   0.4686   0.4684
   1.000   0.6694   0.00460   0.00093  -0.1229   0.4586   0.4795
   1.500   0.7288   0.00470   0.00100  -0.1238   0.4463   0.4888
   2.000   0.7879   0.00482   0.00109  -0.1245   0.4317   0.4984
   2.500   0.8468   0.00495   0.00119  -0.1253   0.4175   0.5093
   3.000   0.9051   0.00511   0.00131  -0.1260   0.3998   0.5205
   3.500   0.9621   0.00538   0.00149  -0.1265   0.3735   0.5301
   4.000   1.0149   0.00596   0.00183  -0.1262   0.3173   0.5383
   4.500   1.0676   0.00654   0.00219  -0.1260   0.2667   0.5464
   5.000   1.1174   0.00730   0.00268  -0.1254   0.2042   0.5557
   5.500   1.1683   0.00795   0.00313  -0.1249   0.1597   0.5643
   6.000   1.2202   0.00849   0.00353  -0.1246   0.1301   0.5726
   6.500   1.2701   0.00911   0.00401  -0.1240   0.0993   0.5831
   7.000   1.3199   0.00970   0.00449  -0.1234   0.0766   0.5928
   7.500   1.3672   0.01038   0.00505  -0.1223   0.0547   0.6025
   8.000   1.4136   0.01105   0.00563  -0.1212   0.0390   0.6124
   8.500   1.4591   0.01169   0.00622  -0.1199   0.0289   0.6235
   9.000   1.5045   0.01224   0.00676  -0.1186   0.0248   0.6346
   9.500   1.5444   0.01279   0.00732  -0.1162   0.0223   0.6457
  10.000   1.5799   0.01343   0.00797  -0.1132   0.0207   0.6575
  10.500   1.6136   0.01419   0.00875  -0.1101   0.0193   0.6717
  11.000   1.6464   0.01508   0.00967  -0.1073   0.0180   0.6838
  11.500   1.6767   0.01622   0.01083  -0.1043   0.0162   0.6977
  12.000   1.7059   0.01753   0.01217  -0.1016   0.0150   0.7094
  12.500   1.7328   0.01911   0.01378  -0.0989   0.0132   0.7234
  13.000   1.7532   0.02124   0.01594  -0.0959   0.0097   0.7369
  13.500   1.7739   0.02354   0.01828  -0.0933   0.0079   0.7523
  14.000   1.7937   0.02603   0.02083  -0.0909   0.0069   0.7690
  14.500   1.8125   0.02873   0.02359  -0.0887   0.0063   0.7850
  15.000   1.8309   0.03158   0.02652  -0.0869   0.0061   0.8066
  15.500   1.8474   0.03477   0.02980  -0.0852   0.0059   0.8328
  16.000   1.8601   0.03848   0.03362  -0.0836   0.0054   0.8636
  17.500   1.8975   0.05022   0.04577  -0.0803   0.0053   1.0000
  18.000   1.9076   0.05479   0.05039  -0.0798   0.0052   1.0000
  18.500   1.9153   0.05975   0.05543  -0.0795   0.0051   1.0000
  19.000   1.9209   0.06511   0.06085  -0.0795   0.0050   1.0000
  19.500   1.9255   0.07065   0.06647  -0.0797   0.0050   1.0000
  20.000   1.9266   0.07681   0.07271  -0.0802   0.0049   1.0000
  20.500   1.9274   0.08306   0.07904  -0.0810   0.0048   1.0000
  21.000   1.9247   0.08993   0.08600  -0.0822   0.0047   1.0000
  21.500   1.9199   0.09713   0.09330  -0.0836   0.0046   1.0000
  22.000   1.9145   0.10452   0.10079  -0.0855   0.0045   1.0000
  22.500   1.9081   0.11216   0.10853  -0.0877   0.0045   1.0000
  23.000   1.9038   0.11945   0.11591  -0.0902   0.0044   1.0000
  23.500   1.8972   0.12718   0.12374  -0.0932   0.0044   1.0000
  24.000   1.8908   0.13489   0.13155  -0.0966   0.0044   1.0000
  24.500   1.8851   0.14246   0.13922  -0.1003   0.0044   1.0000
  25.000   1.8813   0.14978   0.14662  -0.1043   0.0044   1.0000
