  
       XFOIL         Version 6.99
  
 Calculated polar for: Profile50_12.0                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     9.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000   0.1867   0.00642   0.00227  -0.2226   0.6600   0.0409
  -8.500   0.2470   0.00628   0.00213  -0.2240   0.6466   0.0484
  -8.000   0.3076   0.00611   0.00198  -0.2255   0.6338   0.0630
  -7.500   0.3681   0.00596   0.00186  -0.2270   0.6210   0.0831
  -7.000   0.4288   0.00580   0.00175  -0.2285   0.6088   0.1104
  -6.500   0.4895   0.00565   0.00167  -0.2300   0.5966   0.1463
  -6.000   0.5491   0.00556   0.00163  -0.2312   0.5842   0.1790
  -5.500   0.6100   0.00542   0.00158  -0.2327   0.5730   0.2302
  -5.000   0.6707   0.00530   0.00156  -0.2341   0.5632   0.2831
  -4.500   0.7315   0.00517   0.00155  -0.2356   0.5531   0.3501
  -4.000   0.7895   0.00517   0.00161  -0.2363   0.5427   0.3897
  -3.500   0.8454   0.00526   0.00169  -0.2365   0.5310   0.4100
  -3.000   0.8998   0.00539   0.00179  -0.2364   0.5181   0.4217
  -2.500   0.9534   0.00553   0.00190  -0.2361   0.5057   0.4329
  -2.000   1.0060   0.00565   0.00201  -0.2355   0.4958   0.4474
  -1.500   1.0552   0.00578   0.00213  -0.2343   0.4863   0.4576
  -1.000   1.1047   0.00598   0.00230  -0.2331   0.4738   0.4645
  -0.500   1.1533   0.00625   0.00252  -0.2318   0.4575   0.4741
  -0.000   1.2011   0.00656   0.00276  -0.2304   0.4392   0.4812
   0.500   1.2474   0.00694   0.00306  -0.2287   0.4161   0.4901
   1.000   1.2944   0.00733   0.00338  -0.2272   0.3952   0.4997
   1.500   1.3338   0.00808   0.00390  -0.2243   0.3467   0.5060
   2.000   1.3728   0.00894   0.00452  -0.2215   0.2930   0.5152
   2.500   1.4072   0.01008   0.00531  -0.2179   0.2237   0.5216
   3.000   1.4478   0.01089   0.00595  -0.2154   0.1856   0.5288
   3.500   1.4855   0.01187   0.00672  -0.2124   0.1433   0.5350
   4.500   1.5613   0.01375   0.00832  -0.2067   0.0856   0.5499
   5.000   1.5975   0.01477   0.00923  -0.2037   0.0644   0.5566
   5.500   1.6329   0.01583   0.01021  -0.2005   0.0475   0.5644
   6.000   1.6676   0.01695   0.01126  -0.1973   0.0342   0.5709
   6.500   1.7030   0.01803   0.01231  -0.1943   0.0272   0.5790
   7.000   1.7379   0.01911   0.01338  -0.1913   0.0233   0.5851
   7.500   1.7738   0.02019   0.01446  -0.1885   0.0210   0.5945
   8.000   1.8073   0.02137   0.01566  -0.1854   0.0195   0.6003
   8.500   1.8400   0.02266   0.01696  -0.1823   0.0180   0.6092
   9.000   1.8725   0.02398   0.01830  -0.1792   0.0169   0.6164
   9.500   1.9015   0.02555   0.01989  -0.1758   0.0155   0.6244
  10.000   1.9295   0.02725   0.02160  -0.1723   0.0140   0.6317
  10.500   1.9551   0.02917   0.02354  -0.1686   0.0121   0.6386
  11.000   1.9769   0.03144   0.02584  -0.1647   0.0097   0.6467
  11.500   1.9915   0.03438   0.02881  -0.1602   0.0068   0.6527
  12.000   2.0106   0.03715   0.03162  -0.1566   0.0061   0.6601
  12.500   2.0273   0.04028   0.03480  -0.1530   0.0055   0.6664
  13.000   2.0437   0.04362   0.03821  -0.1499   0.0054   0.6732
  13.500   2.0584   0.04739   0.04204  -0.1472   0.0051   0.6793
  14.000   2.0725   0.05131   0.04603  -0.1447   0.0051   0.6864
  14.500   2.0817   0.05582   0.05061  -0.1422   0.0048   0.6923
  15.000   2.0909   0.06044   0.05531  -0.1400   0.0048   0.6979
  15.500   2.0950   0.06573   0.06068  -0.1379   0.0045   0.7038
  16.000   2.0986   0.07118   0.06621  -0.1362   0.0044   0.7071
  16.500   2.1012   0.07686   0.07199  -0.1348   0.0044   0.7125
  17.000   2.1047   0.08242   0.07764  -0.1336   0.0043   0.7169
  17.500   2.1057   0.08853   0.08383  -0.1329   0.0044   0.7191
  18.000   2.1059   0.09468   0.09007  -0.1324   0.0043   0.7224
  18.500   2.1034   0.10121   0.09670  -0.1322   0.0042   0.7258
  19.000   2.1030   0.10751   0.10309  -0.1323   0.0041   0.7290
  19.500   2.1007   0.11402   0.10969  -0.1328   0.0041   0.7305
  20.000   2.0979   0.12064   0.11640  -0.1338   0.0040   0.7334
  20.500   2.0924   0.12767   0.12353  -0.1352   0.0039   0.7361
  21.000   2.0871   0.13461   0.13056  -0.1370   0.0037   0.7387
  21.500   2.0926   0.13996   0.13599  -0.1387   0.0040   0.7409
  22.000   2.0800   0.14784   0.14398  -0.1416   0.0037   0.7420
  22.500   2.0769   0.15436   0.15060  -0.1444   0.0035   0.7453
  23.000   2.0726   0.16131   0.15764  -0.1480   0.0035   0.7473
  23.500   2.0704   0.16755   0.16396  -0.1513   0.0035   0.7498
  24.000   2.0633   0.17463   0.17115  -0.1556   0.0035   0.7512
  24.500   2.0544   0.18215   0.17878  -0.1606   0.0036   0.7525
  25.000   2.0447   0.18963   0.18638  -0.1659   0.0035   0.7558
