  
       XFOIL         Version 6.99
  
 Calculated polar for: FAAW3211_-15                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.750 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -1.2561   0.04336   0.03686   0.0615   0.6596   0.0215
  -8.000  -1.2473   0.03387   0.02709   0.0634   0.6429   0.0240
  -7.000  -1.2213   0.02491   0.01788   0.0633   0.6252   0.0288
  -6.000  -1.1902   0.01951   0.01235   0.0692   0.6061   0.0451
  -5.000  -1.1573   0.01506   0.00839   0.0788   0.5873   0.1464
  -4.000  -1.0978   0.01051   0.00507   0.0852   0.5695   0.3865
  -3.000  -0.9872   0.00993   0.00450   0.0858   0.5504   0.4412
  -2.000  -0.8716   0.00988   0.00433   0.0856   0.5315   0.4712
  -1.000  -0.7543   0.00998   0.00425   0.0851   0.5144   0.4897
  -0.000  -0.6355   0.00981   0.00395   0.0842   0.4984   0.4989
   1.000  -0.5160   0.00980   0.00375   0.0830   0.4825   0.5074
   3.000  -0.2755   0.00968   0.00347   0.0800   0.4546   0.5229
   4.000  -0.1552   0.00962   0.00344   0.0783   0.4427   0.5311
   5.000  -0.0346   0.00977   0.00351   0.0765   0.4313   0.5383
   6.000   0.0856   0.00982   0.00360   0.0746   0.4199   0.5457
   7.000   0.2065   0.00998   0.00381   0.0725   0.4077   0.5532
   8.000   0.3267   0.01011   0.00406   0.0703   0.3961   0.5609
   9.000   0.4470   0.01040   0.00444   0.0678   0.3831   0.5688
  10.000   0.5668   0.01068   0.00490   0.0653   0.3701   0.5773
  12.000   0.8073   0.01174   0.00630   0.0586   0.3284   0.5958
  13.000   0.9281   0.01304   0.00772   0.0531   0.2954   0.6064
  14.000   1.0439   0.01594   0.01065   0.0447   0.2441   0.6186
  15.000   1.1062   0.02304   0.01763   0.0357   0.1820   0.6326
  16.000   1.1190   0.03316   0.02767   0.0305   0.1317   0.6477
  17.000   1.1226   0.04485   0.03935   0.0249   0.0959   0.6647
  18.000   1.1268   0.05749   0.05209   0.0183   0.0705   0.6903
  19.000   1.1373   0.07031   0.06537   0.0110   0.0549   0.8336
  20.000   1.1347   0.08293   0.07814   0.0074   0.0454   0.8542
  21.000   1.1323   0.09645   0.09182   0.0025   0.0385   0.8652
  23.000   1.1276   0.12549   0.12124  -0.0104   0.0295   0.8783
  24.000   1.1306   0.13983   0.13579  -0.0179   0.0264   0.8826
  25.000   1.1332   0.15477   0.15092  -0.0267   0.0236   0.8854
