  
       XFOIL         Version 6.99
  
 Calculated polar for: FAAW3211                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.750 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.7853   0.02238   0.01614  -0.0290   0.7034   0.0522
  -8.000  -0.6915   0.01188   0.00642  -0.0489   0.6675   0.2358
  -7.000  -0.5796   0.00919   0.00413  -0.0530   0.6361   0.3856
  -6.000  -0.4615   0.00886   0.00364  -0.0546   0.6058   0.4304
  -5.000  -0.3420   0.00898   0.00357  -0.0559   0.5779   0.4595
  -4.000  -0.2229   0.00905   0.00339  -0.0572   0.5535   0.4725
  -3.000  -0.1035   0.00910   0.00324  -0.0585   0.5294   0.4822
  -2.000   0.0152   0.00919   0.00319  -0.0597   0.5098   0.4912
  -1.000   0.1339   0.00927   0.00314  -0.0609   0.4908   0.5001
  -0.000   0.2525   0.00943   0.00324  -0.0621   0.4742   0.5079
   1.000   0.3703   0.00958   0.00330  -0.0632   0.4583   0.5156
   2.000   0.4879   0.00984   0.00353  -0.0643   0.4447   0.5232
   3.000   0.6049   0.01005   0.00375  -0.0653   0.4323   0.5302
   4.000   0.7213   0.01039   0.00413  -0.0663   0.4199   0.5376
   5.000   0.8370   0.01074   0.00453  -0.0672   0.4076   0.5449
   6.000   0.9519   0.01115   0.00503  -0.0681   0.3949   0.5521
   7.000   1.0660   0.01160   0.00559  -0.0689   0.3820   0.5593
   8.000   1.1778   0.01215   0.00622  -0.0695   0.3628   0.5667
   9.000   1.2889   0.01272   0.00695  -0.0702   0.3400   0.5745
  10.000   1.3951   0.01364   0.00795  -0.0704   0.3105   0.5825
  11.000   1.4912   0.01525   0.00956  -0.0697   0.2639   0.5908
  12.000   1.5462   0.01910   0.01314  -0.0653   0.1947   0.5986
  13.000   1.5635   0.02783   0.02172  -0.0643   0.1317   0.6063
  14.000   1.5513   0.04061   0.03452  -0.0649   0.0937   0.6141
  15.000   1.5231   0.05609   0.05014  -0.0667   0.0689   0.6215
  16.000   1.5009   0.07193   0.06617  -0.0695   0.0552   0.6291
  17.000   1.4808   0.08841   0.08287  -0.0734   0.0450   0.6369
  18.000   1.4686   0.10432   0.09903  -0.0778   0.0386   0.6455
  19.000   1.4576   0.12052   0.11547  -0.0833   0.0332   0.6548
  20.000   1.4513   0.13668   0.13190  -0.0901   0.0293   0.6652
  21.000   1.4494   0.15248   0.14795  -0.0981   0.0262   0.6775
  22.000   1.4495   0.16830   0.16401  -0.1074   0.0232   0.6915
  23.000   1.4560   0.18323   0.17919  -0.1174   0.0207   0.7099
  24.000   1.4635   0.19825   0.19451  -0.1284   0.0185   0.7344
  25.000   1.4713   0.21415   0.21078  -0.1415   0.0167   0.7883
