  
       XFOIL         Version 6.99
  
 Calculated polar for: FAAW3211_15                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.750 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.0704   0.01401   0.01035  -0.1681   0.7966   0.4028
  -8.000   0.1677   0.00896   0.00441  -0.1901   0.7199   0.4426
  -7.000   0.2443   0.00969   0.00471  -0.1839   0.6429   0.4545
  -6.000   0.3326   0.01020   0.00493  -0.1799   0.5968   0.4652
  -5.000   0.4364   0.01067   0.00512  -0.1788   0.5617   0.4756
  -4.000   0.5430   0.01121   0.00546  -0.1781   0.5341   0.4851
  -3.000   0.6519   0.01163   0.00574  -0.1778   0.5095   0.4931
  -2.000   0.7604   0.01217   0.00612  -0.1774   0.4884   0.5018
  -1.000   0.8691   0.01263   0.00655  -0.1770   0.4708   0.5089
  -0.000   0.9779   0.01319   0.00704  -0.1766   0.4552   0.5169
   1.000   1.0865   0.01375   0.00760  -0.1762   0.4409   0.5235
   2.000   1.1929   0.01443   0.00828  -0.1754   0.4265   0.5312
   3.000   1.3000   0.01513   0.00904  -0.1748   0.4138   0.5381
   4.000   1.4028   0.01595   0.00996  -0.1735   0.4003   0.5454
   5.000   1.5056   0.01691   0.01098  -0.1725   0.3845   0.5519
   6.000   1.6015   0.01800   0.01224  -0.1703   0.3625   0.5584
   7.000   1.6951   0.01939   0.01370  -0.1680   0.3380   0.5654
   8.000   1.7803   0.02127   0.01568  -0.1647   0.3044   0.5721
   9.000   1.8426   0.02448   0.01877  -0.1584   0.2530   0.5790
  10.000   1.8606   0.03096   0.02493  -0.1477   0.1761   0.5847
  11.000   1.8473   0.04090   0.03472  -0.1366   0.1169   0.5898
  12.000   1.8194   0.05608   0.04997  -0.1317   0.0822   0.5945
  13.000   1.7826   0.07411   0.06824  -0.1305   0.0624   0.5990
  14.000   1.7382   0.09342   0.08784  -0.1310   0.0507   0.6031
  15.000   1.7109   0.11113   0.10581  -0.1332   0.0414   0.6080
  16.000   1.6897   0.12861   0.12350  -0.1374   0.0347   0.6126
  18.000   1.6745   0.15975   0.15513  -0.1493   0.0265   0.6243
  19.000   1.6782   0.17378   0.16941  -0.1567   0.0234   0.6304
  20.000   1.6813   0.18775   0.18363  -0.1651   0.0210   0.6374
  21.000   1.6831   0.20223   0.19831  -0.1750   0.0188   0.6445
  22.000   1.6854   0.21649   0.21281  -0.1858   0.0169   0.6515
  23.000   1.6901   0.23036   0.22693  -0.1972   0.0152   0.6593
  24.000   1.6917   0.24490   0.24170  -0.2101   0.0136   0.6673
  25.000   1.6934   0.25955   0.25655  -0.2238   0.0122   0.6756
