  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA63618_-15                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.750 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -1.1703   0.02392   0.01729   0.0101   0.7144   0.0299
  -8.000  -1.1056   0.02126   0.01445   0.0159   0.7030   0.0338
  -7.000  -1.0341   0.01910   0.01211   0.0214   0.6908   0.0379
  -6.000  -0.9588   0.01707   0.00994   0.0268   0.6778   0.0425
  -5.000  -0.8797   0.01542   0.00819   0.0321   0.6636   0.0477
  -4.000  -0.7867   0.01404   0.00675   0.0352   0.6495   0.0574
  -3.000  -0.6912   0.01251   0.00539   0.0380   0.6353   0.0944
  -2.000  -0.6007   0.01018   0.00400   0.0409   0.6210   0.2860
  -1.000  -0.5010   0.00881   0.00333   0.0429   0.6069   0.4648
  -0.000  -0.3894   0.00845   0.00301   0.0431   0.5930   0.5196
   1.000  -0.2771   0.00817   0.00282   0.0430   0.5792   0.5755
   2.000  -0.1626   0.00800   0.00267   0.0425   0.5655   0.6134
   3.000  -0.0470   0.00784   0.00256   0.0416   0.5519   0.6458
   4.000   0.0687   0.00764   0.00251   0.0405   0.5373   0.6885
   5.000   0.1791   0.00758   0.00295   0.0408   0.5226   0.7654
   6.000   0.2981   0.00871   0.00409   0.0396   0.5077   0.8558
   7.000   0.4108   0.00950   0.00491   0.0396   0.4919   0.8717
   8.000   0.5198   0.01016   0.00568   0.0404   0.4717   0.8838
   9.000   0.6278   0.01071   0.00631   0.0409   0.4475   0.8942
  10.000   0.7364   0.01128   0.00689   0.0404   0.4103   0.9020
  11.000   0.8409   0.01242   0.00791   0.0394   0.3426   0.9081
  12.000   0.9335   0.01503   0.01016   0.0368   0.2461   0.9112
  13.000   0.9803   0.01953   0.01433   0.0368   0.1643   0.9143
  14.000   1.0117   0.02526   0.01977   0.0376   0.1046   0.9163
  15.000   1.0403   0.03170   0.02603   0.0379   0.0634   0.9177
  16.000   1.0705   0.03866   0.03296   0.0371   0.0440   0.9155
  17.000   1.1035   0.04648   0.04088   0.0345   0.0369   0.9125
  18.000   1.1343   0.05524   0.04977   0.0309   0.0331   0.9097
  19.000   1.1536   0.06481   0.05956   0.0281   0.0294   0.9078
  20.000   1.1700   0.07570   0.07066   0.0238   0.0259   0.9058
  21.000   1.1763   0.08853   0.08372   0.0183   0.0232   0.9038
  22.000   1.1753   0.10313   0.09856   0.0114   0.0211   0.9019
  23.000   1.1698   0.11915   0.11483   0.0031   0.0185   0.9003
  24.000   1.1646   0.13543   0.13136  -0.0062   0.0173   0.8992
  25.000   1.1597   0.15185   0.14805  -0.0165   0.0158   0.8980
