  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA63618                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.750 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.5168   0.01421   0.00796  -0.0995   0.7834   0.0461
  -8.000  -0.4135   0.01277   0.00636  -0.1001   0.7590   0.0529
  -7.000  -0.3044   0.01147   0.00498  -0.1013   0.7358   0.0669
  -6.000  -0.1925   0.00989   0.00371  -0.1033   0.7132   0.1502
  -5.000  -0.0761   0.00809   0.00265  -0.1065   0.6914   0.3542
  -4.000   0.0431   0.00770   0.00236  -0.1084   0.6704   0.4500
  -3.000   0.1623   0.00769   0.00227  -0.1100   0.6502   0.4995
  -2.000   0.2813   0.00774   0.00226  -0.1115   0.6302   0.5306
  -1.000   0.3998   0.00785   0.00229  -0.1130   0.6115   0.5542
  -0.000   0.5180   0.00798   0.00239  -0.1144   0.5930   0.5754
   1.000   0.6354   0.00819   0.00257  -0.1158   0.5760   0.5951
   2.000   0.7522   0.00839   0.00282  -0.1171   0.5578   0.6147
   3.000   0.8677   0.00870   0.00316  -0.1182   0.5398   0.6357
   4.000   0.9821   0.00900   0.00359  -0.1191   0.5213   0.6573
   5.000   1.0943   0.00939   0.00408  -0.1197   0.4979   0.6803
   6.000   1.2032   0.00988   0.00466  -0.1198   0.4683   0.7048
   7.000   1.3058   0.01063   0.00545  -0.1189   0.4217   0.7305
   8.000   1.3942   0.01204   0.00673  -0.1158   0.3478   0.7576
   9.000   1.4356   0.01523   0.00941  -0.1057   0.2332   0.7887
  10.000   1.4528   0.02006   0.01390  -0.0947   0.1446   0.8260
  11.000   1.4678   0.02624   0.02002  -0.0865   0.0879   0.8789
  12.000   1.4747   0.03365   0.02748  -0.0795   0.0534   1.0000
  13.000   1.4941   0.04208   0.03598  -0.0764   0.0401   1.0000
  14.000   1.5120   0.05146   0.04553  -0.0746   0.0344   1.0000
  15.000   1.5279   0.06173   0.05601  -0.0739   0.0303   1.0000
  16.000   1.5374   0.07343   0.06794  -0.0743   0.0271   1.0000
  17.000   1.5411   0.08633   0.08110  -0.0758   0.0242   1.0000
  18.000   1.5392   0.10064   0.09567  -0.0786   0.0215   1.0000
  19.000   1.5325   0.11616   0.11146  -0.0832   0.0190   1.0000
  20.000   1.5259   0.13207   0.12767  -0.0893   0.0171   1.0000
  21.000   1.5191   0.14831   0.14420  -0.0972   0.0156   1.0000
  22.000   1.5114   0.16492   0.16108  -0.1069   0.0145   1.0000
  23.000   1.5090   0.18073   0.17717  -0.1176   0.0138   1.0000
  24.000   1.5095   0.19567   0.19226  -0.1287   0.0131   1.0000
  25.000   1.5094   0.21124   0.20816  -0.1413   0.0125   1.0000
