  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA63618_15                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.750 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000   0.0709   0.01897   0.01385  -0.1949   0.8657   0.0900
  -8.000   0.3005   0.01538   0.01096  -0.2217   0.8648   0.2831
  -7.000   0.5238   0.01215   0.00796  -0.2442   0.8642   0.4263
  -6.000   0.6628   0.01055   0.00634  -0.2496   0.8534   0.4735
  -5.000   0.7200   0.00916   0.00456  -0.2384   0.7578   0.4955
  -4.000   0.8060   0.01024   0.00537  -0.2339   0.7075   0.5168
  -3.000   0.8888   0.01151   0.00645  -0.2291   0.6685   0.5329
  -2.000   0.9841   0.01243   0.00722  -0.2266   0.6394   0.5495
  -1.000   1.0828   0.01322   0.00798  -0.2246   0.6144   0.5652
  -0.000   1.1826   0.01400   0.00874  -0.2229   0.5920   0.5801
   1.000   1.2803   0.01489   0.00962  -0.2208   0.5682   0.5950
   2.000   1.3773   0.01581   0.01057  -0.2186   0.5459   0.6101
   3.000   1.4672   0.01699   0.01180  -0.2152   0.5158   0.6250
   4.000   1.5518   0.01845   0.01326  -0.2110   0.4787   0.6399
   5.000   1.6320   0.02019   0.01501  -0.2062   0.4336   0.6548
   6.000   1.6925   0.02316   0.01772  -0.1986   0.3510   0.6688
   7.000   1.7113   0.02912   0.02297  -0.1856   0.2191   0.6809
   8.000   1.7201   0.03641   0.02982  -0.1727   0.1279   0.6922
   9.000   1.7277   0.04487   0.03810  -0.1618   0.0733   0.7029
  10.000   1.7339   0.05499   0.04823  -0.1538   0.0447   0.7133
  11.000   1.7437   0.06558   0.05902  -0.1481   0.0354   0.7215
  12.000   1.7505   0.07700   0.07072  -0.1439   0.0310   0.7294
  13.000   1.7544   0.08929   0.08331  -0.1412   0.0275   0.7375
  14.000   1.7558   0.10216   0.09648  -0.1400   0.0245   0.7445
  15.000   1.7569   0.11517   0.10978  -0.1402   0.0217   0.7501
  16.000   1.7593   0.12815   0.12304  -0.1421   0.0187   0.7567
  17.000   1.7574   0.14168   0.13687  -0.1455   0.0168   0.7619
  18.000   1.7542   0.15579   0.15128  -0.1512   0.0150   0.7672
  19.000   1.7491   0.17028   0.16601  -0.1587   0.0137   0.7736
  20.000   1.7456   0.18458   0.18066  -0.1675   0.0129   0.7787
  21.000   1.7415   0.19914   0.19546  -0.1780   0.0121   0.7841
  22.000   1.7387   0.21342   0.21004  -0.1895   0.0117   0.7900
  23.000   1.7361   0.22762   0.22453  -0.2019   0.0111   0.7955
  24.000   1.7366   0.24114   0.23826  -0.2148   0.0107   0.8011
  25.000   1.7396   0.25388   0.25119  -0.2277   0.0103   0.8065
